Name,Years,Position,Party,State,Congress,Link
"CROCKER, Alvah",1801-1874,Representative,Republican,MA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000916
"CROOKE, Philip Schuyler",1810-1881,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000927
"CROSSLAND, Edward",1827-1881,Representative,Democrat,KY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000933
"CROUNSE, Lorenzo",1834-1909,Representative,Republican,NE,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000935
"CROZIER, Robert",1827-1895,Senator,Republican,KS,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000952
"CRUTCHFIELD, William",1824-1890,Representative,Republican,TN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000961
"CURTIS, Carlton Brandaga",1811-1883,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001007
"DANFORD, Lorenzo",1829-1899,Representative,Republican,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000028
"DARRALL, Chester Bidwell",1842-1908,Representative,Republican,LA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000062
"DAVIS, Alexander Mathews",1833-1889,Representative,Democrat,VA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000091
"DAVIS, Henry Gassaway",1823-1916,Senator,Democrat,WV,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000103
"DAVIS, John James",1835-1916,Representative,Democrat,WV,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000119
"DAWES, Henry Laurens",1816-1903,Representative,Republican,MA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000148
"DE WITT, David Miller",1837-1912,Representative,Democrat,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000285
"DENNIS, George Robertson",1822-1882,Senator,Democrat,MD,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000242
"DOBBINS, Samuel Atkinson",1814-1886,Representative,Republican,NJ,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000383
"DONNAN, William G.",1834-1908,Representative,Republican,IA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000413
"DORSEY, Stephen Wallace",1842-1916,Senator,Republican,AR,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000441
"DUELL, Rodolphus Holland",1824-1891,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000513
"DUNNELL, Mark Hill",1823-1904,Representative,Republican,MN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000555
"DURHAM, Milton Jameson",1824-1911,Representative,Democrat,KY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000572
"EAMES, Benjamin Tucker",1818-1901,Representative,Republican,RI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000005
"EATON, William Wallace",1816-1898,Senator,Democrat,CT,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000028
"EDEN, John Rice",1826-1909,Representative,Democrat,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000042
"EDMUNDS, George Franklin",1828-1919,Senator,Republican,VT,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000056
"ELDREDGE, Charles Augustus",1820-1896,Representative,Democrat,WI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000103
"ELKINS, Stephen Benton",1841-1911,Delegate,Republican,NM,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000110
"ELLIOTT, Robert Brown",1842-1884,Representative,Republican,SC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000128
"FARWELL, Charles Benjamin",1823-1903,Representative,Republican,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000037
"FENTON, Reuben Eaton",1819-1885,Senator,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000077
"FERRY, Orris Sanford",1823-1875,Senator,Liberal Republican,CT,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000094
"FERRY, Thomas White",1827-1896,Senator,Republican,MI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000095
"FIELD, Moses Whelock",1828-1889,Representative,Republican,MI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000105
"FINCK, William Edward",1822-1901,Representative,Democrat,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000118
"FLANAGAN, James Winright",1805-1887,Senator,Republican,TX,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000186
"FORT, Greenbury Lafayette",1825-1883,Representative,Republican,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000288
"FOSTER, Charles",1828-1904,Representative,Republican,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000299
"FOSTER, Wilder De Ayr",1819-1873,Representative,Republican,MI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000315
"FREEMAN, James Crawford",1820-1885,Representative,Republican,GA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000362
"FRELINGHUYSEN, Frederick Theodore",1817-1885,Senator,Republican,NJ,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000369
"FRYE, William Pierce",1830-1911,Representative,Republican,ME,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000398
"GARFIELD, James Abram",1831-1881,Representative,Republican,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000063
"GIDDINGS, De Witt Clinton",1827-1903,Representative,Democrat,TX,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000166
"GILBERT, Abijah",1806-1881,Senator,Republican,FL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000171
"GLOVER, John Montgomery",1822-1891,Representative,Democrat,MO,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000245
"GOLDTHWAITE, George",1809-1879,Senator,Democrat,AL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000266
"GOOCH, Daniel Wheelwright",1820-1891,Representative,Republican,MA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000274
"GORDON, John Brown",1832-1904,Senator,Democrat,GA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000313
"GUNCKEL, Lewis B.",1826-1903,Representative,Republican,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000523
"GUNTER, Thomas Montague",1826-1904,Representative,Democrat,AR,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000527
"HAGANS, John Marshall",1838-1900,Representative,Republican,WV,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000011
"HAGER, John Sharpenstein",1818-1890,Senator,Democrat,CA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000016
"HAILEY, John",1835-1921,Delegate,Democrat,ID,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000023
"HALE, Eugene",1836-1918,Representative,Republican,ME,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000029
"HALE, Robert Safford",1822-1881,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000037
"HAMILTON, Morgan Calvin",1809-1893,Senator,Liberal Republican,TX,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000115
"HAMILTON, Robert",1809-1878,Representative,Democrat,NJ,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000117
"HAMILTON, William Thomas",1820-1888,Senator,Democrat,MD,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000118
"HAMLIN, Hannibal",1809-1891,Senator,Republican,ME,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000121
"HANCOCK, John",1824-1893,Representative,Democrat,TX,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000150
"HARMER, Alfred Crout",1825-1900,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000215
"HARRIS, Benjamin Winslow",1823-1907,Representative,Republican,MA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000233
"HARRIS, Henry Richard",1828-1909,Representative,Democrat,GA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000239
"HARRIS, John Thomas",1823-1899,Representative,Democrat,VA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000247
"HARRISON, Horace Harrison",1829-1885,Representative,Republican,TN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000271
"HARVEY, James Madison",1833-1894,Senator,Republican,KS,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000307
"HATCHER, Robert Anthony",1819-1886,Representative,Democrat,MO,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000341
"HATHORN, Henry Harrison",1813-1887,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000347
"HAVENS, Harrison Eugene",1837-1916,Representative,Republican,MO,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000357
"HAWLEY, John Baldwin",1831-1895,Representative,Republican,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000376
"HAWLEY, Joseph Roswell",1826-1905,Representative,Republican,CT,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000377
"HAYS, Charles",1834-1879,Representative,Republican,AL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000402
"HAZELTON, Gerry Whiting",1829-1920,Representative,Republican,WI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000419
"HAZELTON, John Wright",1814-1878,Representative,Republican,NJ,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000420
"HENDEE, George Whitman",1832-1906,Representative,Republican,VT,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000474
"HEREFORD, Frank",1825-1891,Representative,Democrat,WV,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000527
